,ra_cvsq,ra_cvsp,d4pg_cvsq,d4pg_cvsp,mad4pg_cvsq,mad4pg_cvsp,mamo_cvsq,mamo_cvsp
43,222.51617747946600,198.5362388788160,222.23866281065400,218.51566768367400,129.7135777451810,169.3246477852750,169.47278244496800,179.20234542138600
44,231.43253295476100,199.0622248775350,219.42014290127000,214.6943750607700,126.43471331415200,169.04165249629200,169.46985038590500,179.69083855255100
45,227.9557705880850,198.99347344666400,223.6713566911760,212.4030553792120,126.12999553260100,169.16614972695400,169.47340260699200,179.30848278585000
46,221.31014921542300,199.1024015975560,228.4865466158510,211.30249018188800,126.0811586735570,169.20614543277700,169.46568626232300,180.20795001290400
47,228.25450211370000,196.9933328826040,231.26295910576800,212.3494733222310,126.09734486033800,169.1444342635670,169.4680342356950,180.11439050391000
48,218.8315919062110,197.93484579001400,228.88948981589900,211.42787923362900,126.12166726300500,169.14895875400700,169.4656277351220,180.2934434182220
49,218.0339721903020,200.0496515512600,234.3014881578740,215.5936903977840,126.09987287044200,169.25291626395300,169.4713972004010,179.71801094197300
50,231.9008835104510,199.87572205542000,236.74910019846600,217.5365685125220,126.13264338958000,169.17073071320000,169.47003731485500,179.64181422827600
51,230.9727064695990,198.11956850943200,237.39713453793000,217.52680742978800,126.3565657573730,169.2314720934060,169.46998512599600,179.8932152767620
52,225.54920544255400,197.32413382521200,239.17367463323700,221.0131771741590,127.17075373411000,169.13610699181400,169.46873223562300,180.10664109886700
53,232.1991079743950,196.8982695595470,242.1644996239600,222.5412106048150,127.82555277722000,169.0617496746980,169.4717882914130,179.69171121755200
54,215.41051831992500,198.4059196854570,244.4325843570580,222.6483721152590,128.73421638422400,169.077626790948,169.4693991626950,180.1216075536690
55,232.59256308412000,198.1673796004390,238.1829821207000,225.2734215694070,131.85538165842900,169.19099354327000,169.46820776044600,180.04652671637000
56,231.97934753391100,198.93114599673800,233.88399182127400,223.66844157009300,133.05323699240000,172.9476566907060,169.469574571115,179.58668679758600
57,228.4369835475840,197.654551222692,236.4681751545290,229.2267607737280,132.89493839728600,174.81564930728600,169.47103506333200,179.80808028613200
58,232.9156822101520,198.24194083730700,247.0955284121690,231.78607683288500,131.80570346757600,174.77739023681900,169.4686770178710,179.99152451390100
59,224.56977494150100,198.28458989524000,239.46072280754900,230.7390195479280,132.11798856126000,174.74947756785100,169.47371714882200,179.180147174547
60,217.3105293418140,198.07585410764600,234.43289790690100,228.08931218240600,131.17192660736300,174.77854562308900,169.46808504388100,179.93394853874000
61,229.0526428553510,197.78103474268200,239.61284359691500,235.12803051844500,131.45546549539300,174.7686952344250,169.46578438772500,180.23076760536300
62,229.36318056049800,201.1357285681940,239.4709295635370,236.797393239381,134.31989437431000,174.7877131331980,169.46460226762900,180.17620121418800
63,228.405959443806,197.53172730923300,237.11990555342600,239.12900781582800,134.04917416891000,174.7163357184460,169.4706749963080,179.63561869700900
64,219.66863243376100,195.7139823084180,249.14747881489500,241.46403144227000,136.95590447426800,185.19066438492100,169.46776306943400,180.45635740707900
65,226.23866496775800,196.16633468166200,238.30544281925800,244.3155437150170,136.99305440366100,187.7865445503780,169.46844331092200,179.90933668135100
66,228.55537126058400,198.6276764934120,255.0523948444980,243.3907927485660,136.98676708657500,187.7428293764960,169.4675689300240,180.00181329668100
67,220.3893027752400,199.3081542264830,253.76569362526600,241.9223496807890,136.98541270473700,187.86158421976800,169.4693302334920,179.95250748334800
68,221.7549227642110,200.12050741165900,255.1813040889070,242.245896214382,136.98530028329000,187.87289055104200,169.46668409302700,180.22385897619400
69,223.81532560040600,198.4936763292640,261.5412106253720,240.91404311641100,136.98532401847400,187.71380291870500,169.47079040647400,179.84146653182200
70,222.8052659346760,199.6940278526990,257.362668376124,241.72570817997600,136.985246134061,187.82123817965000,169.47040223434200,179.76568165771700
71,227.0004664107530,197.8945244938220,259.26297677933400,241.1977178463370,136.9852683534030,187.72137424528800,169.46882371140500,179.8897662880090
72,229.0897634847050,198.5538801875720,262.2594951152690,243.79497357547400,136.98527140721300,187.826587002537,169.4692736936090,179.66776348028800
73,212.6513797890880,201.3674190739750,259.6395974296140,243.9664281055790,136.98527568823400,187.72631391995400,169.46764396194500,180.39984269236800
74,226.5099108823530,199.3236255935430,257.68231320983100,245.09583567015500,136.985286673327,187.75788421485000,169.4672986691280,180.1048296651430
